id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
30,3.74,1.82,2,141,140,Car,1,161.05,28.59,29.16,29.02,36.22,1.25,68.19,0
31,3.94,1.82,2,158,157,Car,1,223.90,35.34,36.69,35.91,33.05,0.93,11.65,0
32,8.79,2.50,2,176,175,Truck,1,170.92,24.42,24.73,24.58,36.34,1.48,18.05,0
33,4.55,2.02,2,213,212,Car,1,220.67,24.92,27.36,26.16,32.09,1.26,16.57,0
34,4.95,2.12,2,422,421,Car,1,408.35,23.17,24.88,24.31,40.43,1.67,30.59,0
35,4.65,1.92,3,224,222,Car,2,303.98,32.81,35.35,34.41,23.17,0.67,337.97,0
36,4.45,1.82,6,319,314,Car,1,410.55,32.37,33.13,32.81,27.89,0.85,64.51,0
37,4.04,1.92,13,351,339,Car,1,410.04,29.12,30.72,30.34,13.02,0.43,3.97,1
38,6.27,2.32,25,336,312,Car,2,410.89,31.30,34.23,33.04,16.98,0.50,8.45,0
39,4.85,1.92,28,382,355,Car,2,411.60,27.48,30.94,29.08,79.78,2.90,-1.00,0
40,4.04,1.77,44,398,355,Car,2,411.55,27.26,30.80,29.08,13.43,0.49,46.41,0
41,7.07,2.22,45,356,312,Car,2,410.97,31.64,35.24,33.06,18.38,0.58,21.16,0
42,4.65,2.12,50,433,384,Car,1,409.99,25.84,27.93,26.77,37.34,1.37,19.55,0
43,3.74,1.82,50,474,425,Car,1,410.12,23.31,24.98,24.19,44.10,1.79,62.75,0
44,4.65,1.92,54,388,335,Car,1,409.85,30.02,32.35,30.69,42.86,1.34,31.08,0
45,4.14,1.82,80,420,341,Car,1,411.03,29.30,30.97,30.24,28.12,0.96,64.34,0
46,6.47,2.43,87,540,454,Truck,2,409.64,21.88,23.51,22.61,96.68,4.41,-1.00,0
47,4.55,1.82,96,449,354,Car,2,410.70,25.80,32.49,29.10,52.51,1.95,45.96,0
48,4.50,2.02,108,451,344,Car,1,409.64,29.43,30.65,29.87,26.58,0.88,43.83,0
49,4.04,1.72,109,421,313,Car,2,409.31,31.50,34.46,32.82,75.47,2.39,-1.00,0
50,14.75,2.50,120,504,385,Truck,1,373.52,23.63,25.31,24.34,13.55,0.57,28.18,0
51,3.84,1.72,120,569,450,Car,2,412.44,22.43,23.92,22.97,22.70,0.95,20.79,0
52,4.75,1.82,142,456,315,Car,2,409.87,31.31,34.21,32.65,36.93,1.16,-1.00,0
53,4.65,1.92,142,491,350,Car,1,411.47,28.02,30.65,29.49,37.29,1.33,82.49,0
54,4.55,1.92,145,508,364,Car,1,410.49,27.49,29.00,28.29,37.20,1.31,35.22,0
55,4.35,1.82,157,460,304,Car,1,355.56,26.66,32.33,29.32,24.42,0.91,8.61,0
56,4.75,1.92,158,510,353,Car,1,409.52,27.36,30.22,29.10,11.92,0.43,-1.00,0
57,3.84,1.92,169,536,368,Car,1,410.94,27.65,28.53,28.01,23.46,0.84,152.90,0
58,4.65,1.82,172,526,355,Car,2,412.33,28.04,30.76,29.14,74.04,2.57,56.56,0
59,4.65,2.02,181,495,315,Car,2,409.23,31.04,33.80,32.60,43.91,1.41,-1.00,0
60,4.85,1.92,183,546,364,Car,1,410.35,26.53,29.84,28.27,23.10,0.87,500.15,0
61,4.55,1.82,205,580,376,Car,1,410.84,25.85,29.12,27.40,18.65,0.71,-1.00,0
62,4.24,1.82,206,573,368,Car,1,410.05,27.22,28.37,27.95,36.58,1.34,16.00,1
63,4.24,1.82,220,517,298,Car,2,405.31,32.52,36.97,34.14,24.16,0.70,4.68,1
64,5.36,2.12,231,616,386,Car,1,411.51,25.21,29.02,26.73,20.15,0.77,28.68,0
65,5.15,2.12,245,613,369,Car,1,410.80,25.69,32.44,27.92,36.85,1.37,36.36,0
66,16.17,2.50,251,690,440,Truck,1,388.74,21.94,22.89,22.15,47.02,2.11,-1.00,0
67,4.85,1.92,252,716,465,Car,1,410.69,21.67,23.79,22.13,14.58,0.64,14.36,0
68,4.95,2.02,258,643,386,Car,1,410.39,24.93,29.42,26.66,22.94,0.90,51.62,0
69,3.74,1.82,263,665,403,Car,2,410.28,24.79,26.77,25.53,97.72,3.77,46.41,0
70,3.74,1.72,278,672,395,Car,1,410.30,25.33,27.57,26.05,29.62,1.13,43.28,0
71,4.55,2.02,284,746,463,Car,1,410.03,21.47,23.64,22.19,20.96,0.96,28.13,0
72,3.94,1.82,313,779,467,Car,1,410.82,20.92,22.62,22.05,22.20,1.02,49.67,0
73,4.95,2.02,316,726,411,Car,1,410.53,24.21,25.81,25.04,35.84,1.38,218.01,0
74,4.04,1.72,322,705,384,Car,1,410.25,25.91,28.63,26.79,50.77,1.91,18.04,0
75,4.35,1.92,343,750,408,Car,1,410.73,24.70,25.98,25.24,19.21,0.77,18.40,0
76,4.24,1.72,344,625,282,Car,2,410.02,35.33,37.87,36.50,143.40,3.90,23.91,0
77,5.05,2.02,354,732,379,Car,1,410.84,26.73,28.71,27.18,23.70,0.88,20.14,0
78,16.88,2.50,363,821,459,Truck,1,407.29,21.66,23.79,22.24,21.44,0.96,17.05,0
79,4.14,1.82,367,706,340,Car,2,403.73,28.40,30.95,29.78,51.50,1.75,13.86,0
80,7.78,2.43,367,771,405,Car,1,409.43,24.83,26.92,25.34,12.52,0.50,13.96,0
81,4.85,2.02,387,762,376,Car,1,411.03,26.52,29.43,27.41,24.28,0.89,14.19,0
82,4.95,2.02,398,699,302,Car,2,411.07,32.80,35.31,34.16,73.26,2.23,-1.00,0
83,4.55,2.02,401,814,414,Car,1,410.26,23.85,27.30,24.84,29.12,1.15,30.94,0
84,3.94,1.92,421,840,420,Car,1,410.41,22.63,28.43,24.50,8.71,0.36,8.09,0
85,3.94,1.72,435,714,280,Car,2,408.46,35.52,38.13,36.62,280.82,7.78,262.52,0
86,5.05,2.32,436,802,367,Car,1,409.05,25.51,30.61,27.93,32.40,1.20,14.92,0
87,4.45,1.82,447,832,386,Car,1,409.76,24.23,29.89,26.62,3.57,0.13,1.89,1
88,3.84,1.82,448,817,370,Car,1,410.46,25.49,30.93,27.82,11.54,0.40,18.25,0
89,4.45,1.82,470,782,313,Car,2,410.63,31.20,34.31,32.92,90.60,2.90,-1.00,0
90,4.24,1.92,474,793,320,Car,2,412.16,31.97,32.70,32.32,53.83,1.67,-1.00,0
91,4.04,1.82,476,843,368,Car,1,408.39,23.99,30.94,27.82,6.26,0.25,5.38,0
92,18.90,2.50,488,940,453,Truck,2,410.37,21.99,23.41,22.71,128.75,5.85,-1.00,0
93,4.65,2.02,495,866,372,Car,1,410.59,25.43,29.86,27.67,18.23,0.69,11.32,0
94,4.04,1.82,498,876,379,Car,1,410.60,23.53,30.38,27.16,30.57,1.27,11.47,0
95,4.55,1.82,499,816,318,Car,2,410.37,32.18,32.76,32.39,26.99,0.82,100.36,0
96,4.14,1.82,526,902,377,Car,1,410.63,25.45,29.65,27.32,31.97,1.11,65.12,0
97,4.04,1.82,532,839,308,Car,2,412.03,33.13,34.11,33.57,25.12,0.75,19.74,0
98,4.75,2.02,543,921,379,Car,1,410.13,25.51,28.78,27.14,14.37,0.51,22.59,0
99,4.35,1.92,569,951,383,Car,1,410.43,25.10,29.69,26.87,24.13,0.83,27.90,0
100,7.07,2.22,570,961,392,Car,1,409.86,23.21,28.10,26.21,74.08,2.81,57.07,0
101,4.24,1.92,588,971,384,Car,1,409.29,24.34,28.71,26.73,15.15,0.60,16.96,0
102,3.74,1.72,601,924,324,Car,2,411.32,31.33,32.27,31.86,90.31,2.88,-1.00,1
103,16.67,2.50,615,1055,441,Truck,2,409.18,22.42,24.15,23.26,94.24,3.99,538.18,0
104,4.65,1.82,620,968,349,Car,1,404.00,27.22,31.25,29.04,12.80,0.46,2.94,2
105,16.88,2.50,625,1069,445,Truck,1,407.15,22.32,23.63,22.93,63.25,2.80,113.45,0
106,4.35,1.92,636,987,352,Car,1,410.70,25.81,31.84,29.26,11.59,0.44,5.90,0
107,3.33,1.72,638,950,313,Car,2,411.90,32.30,33.80,33.03,29.63,0.91,18.28,1
108,5.86,2.50,642,1001,360,Truck,1,408.06,26.07,30.11,28.43,17.80,0.64,12.61,0
109,16.67,2.50,646,1057,412,Truck,2,409.74,24.06,25.95,24.93,16.89,0.69,-1.00,0
110,4.55,1.82,649,929,281,Car,2,412.21,33.75,38.84,36.83,7.76,0.21,3.90,0
111,4.85,2.02,672,1090,419,Car,2,411.45,23.77,25.96,24.61,15.89,0.63,12.46,0
112,4.85,1.82,702,993,292,Car,2,409.74,34.47,36.30,35.22,65.31,1.89,-1.00,0
113,4.35,1.92,705,1042,338,Car,1,410.35,28.20,32.05,30.46,59.58,2.02,16.42,0
114,4.85,1.82,711,1014,304,Car,2,403.58,31.99,34.78,33.32,11.27,0.35,4.80,1
115,16.67,2.50,715,1151,437,Truck,2,408.61,22.76,24.34,23.44,73.65,3.19,-1.00,0
116,8.08,2.50,724,1174,451,Truck,1,407.37,21.73,23.51,22.64,82.87,3.60,168.81,0
117,4.75,1.92,743,1089,347,Car,1,409.64,29.40,30.33,29.62,42.72,1.41,41.80,0
118,4.35,1.92,748,1121,374,Car,1,410.35,27.05,28.08,27.51,124.56,4.45,97.19,0
119,4.75,1.92,755,1042,288,Car,2,410.20,35.39,36.54,35.75,29.21,0.80,11.99,0
120,4.45,1.72,764,1119,356,Car,2,410.85,25.28,31.20,28.94,24.97,0.97,6.90,0
121,4.65,1.92,766,1114,349,Car,1,410.20,28.67,30.38,29.48,22.48,0.76,73.83,0
122,4.04,1.92,783,1160,378,Car,1,410.22,26.72,27.79,27.22,14.80,0.54,157.67,0
123,4.85,2.12,803,1135,333,Car,1,401.59,28.65,31.93,30.26,18.20,0.63,9.43,1
124,5.36,2.12,807,1091,285,Car,2,411.45,35.86,36.74,36.24,63.32,1.74,59.91,0
125,3.64,1.72,825,1108,284,Car,2,409.30,35.02,36.76,36.18,20.43,0.58,49.43,0
126,3.84,2.02,827,1201,375,Car,1,409.29,26.85,27.77,27.37,39.29,1.44,42.63,0
127,4.35,1.87,835,1180,346,Car,1,409.57,28.49,30.88,29.69,37.93,1.33,55.46,0
128,4.45,1.97,857,1244,388,Car,1,409.04,26.01,26.97,26.43,28.84,1.10,-1.00,0
129,4.75,2.02,863,1139,277,Car,2,409.80,34.99,38.50,37.15,43.36,1.12,16.48,0
130,5.05,2.02,863,1211,349,Car,1,408.97,28.53,30.32,29.39,27.02,0.94,157.63,0
131,3.84,1.82,883,1259,377,Car,1,404.16,26.01,28.67,26.89,20.60,0.72,11.73,1
132,4.55,1.92,888,1299,412,Car,1,409.33,24.12,26.07,24.91,116.70,4.74,40.79,0
133,4.85,1.92,890,1240,351,Car,1,409.78,27.94,30.47,29.28,24.32,0.84,26.63,0
134,2.93,1.82,908,1298,391,Car,1,409.65,25.61,27.48,26.27,22.90,0.88,873.90,0
135,4.75,1.92,912,1222,311,Car,2,410.83,31.00,34.97,33.15,64.67,2.08,-1.00,0
136,17.89,2.50,916,1335,420,Truck,2,408.69,23.57,25.16,24.39,168.29,7.13,-1.00,0
137,16.57,2.50,921,1343,423,Truck,2,409.16,23.30,25.36,24.25,172.26,7.09,1870.57,0
138,3.94,1.82,931,1329,399,Car,1,403.39,24.78,26.17,25.35,31.88,1.28,39.30,0
139,4.24,1.82,937,1326,390,Car,1,408.14,25.64,27.33,26.23,21.17,0.81,28.98,0
140,4.35,1.92,940,1293,354,Car,1,410.20,28.42,29.74,29.05,28.77,1.00,28.59,0
141,3.84,1.72,941,1359,419,Car,2,411.04,24.07,25.34,24.60,20.29,0.80,56.94,0
142,4.24,1.92,951,1270,320,Car,2,410.79,30.64,33.91,32.21,44.03,1.43,-1.00,0
143,4.45,1.82,954,1324,371,Car,1,409.59,26.62,28.30,27.69,13.48,0.49,16.40,1
144,4.75,1.92,959,1334,376,Car,2,410.35,24.17,32.40,27.37,5.57,0.20,2.00,1
145,4.95,1.92,970,1292,323,Car,2,410.10,31.45,32.38,31.86,16.22,0.51,12.44,0
146,4.85,1.92,984,1365,382,Car,1,409.32,26.31,28.63,26.87,25.22,0.91,19.24,0
147,4.45,1.82,986,1378,393,Car,1,409.55,25.70,26.57,26.14,29.82,1.14,183.81,0
148,4.55,1.82,986,1391,406,Car,1,407.06,24.15,26.13,25.12,50.25,1.99,44.74,0
149,4.95,1.97,990,1403,414,Car,2,410.72,23.72,26.37,24.87,24.79,1.01,48.04,0
150,4.04,1.82,999,1440,442,Car,2,412.19,22.41,24.03,23.37,71.78,3.20,-1.00,0
151,4.65,1.72,1018,1425,408,Car,2,410.97,24.50,26.68,25.25,17.86,0.68,24.10,0
152,4.45,2.02,1021,1396,376,Car,1,409.99,25.97,29.64,27.34,29.00,1.05,17.00,0
153,4.14,1.82,1028,1356,329,Car,2,410.39,30.24,32.46,31.30,22.97,0.76,7.10,0
154,4.75,2.02,1032,1427,396,Car,1,407.89,24.34,26.70,25.82,29.09,1.11,71.41,1
155,4.04,1.82,1048,1422,375,Car,1,410.30,25.83,29.87,27.44,23.26,0.87,20.97,0
156,10.00,2.50,1051,1444,394,Truck,2,392.62,24.27,25.94,24.99,11.48,0.44,6.39,1
157,4.45,1.92,1059,1391,333,Car,2,410.22,30.31,31.75,30.91,33.82,1.06,223.78,0
158,4.75,1.92,1080,1411,332,Car,2,412.51,30.40,32.44,31.18,18.81,0.61,22.92,0
159,4.85,2.02,1082,1478,397,Car,1,409.58,24.89,27.34,25.87,47.90,1.87,239.84,0
160,4.65,2.02,1096,1457,362,Car,1,409.76,27.39,30.14,28.39,35.37,1.25,16.00,0
161,4.45,1.92,1101,1424,324,Car,2,402.49,30.02,31.90,31.17,16.98,0.55,17.33,0
162,4.35,1.92,1106,1492,387,Car,1,406.81,26.10,26.61,26.36,64.57,2.44,30.40,0
163,4.45,2.02,1109,1520,412,Car,1,409.82,23.65,26.07,24.93,23.43,0.98,-1.00,0
164,7.07,2.12,1133,1447,315,Car,2,400.93,30.60,32.94,31.93,24.17,0.78,27.84,0
165,3.74,1.62,1136,1526,391,Car,2,411.04,25.42,26.76,26.36,66.31,2.53,63.54,0
166,5.05,2.02,1137,1487,351,Car,1,408.93,28.38,30.20,29.23,30.68,1.05,19.94,0
167,5.66,2.12,1140,1572,433,Car,1,409.68,22.99,25.33,23.71,22.79,0.95,237.35,0
168,4.45,1.82,1148,1473,326,Car,2,405.01,28.70,32.01,31.18,15.69,0.54,40.73,0
169,4.75,1.92,1155,1592,438,Car,1,410.41,22.55,25.10,23.48,9.19,0.39,26.28,0
170,13.64,2.50,1159,1587,429,Truck,1,408.64,23.53,24.06,23.87,42.97,1.82,-1.00,0
171,4.45,2.02,1168,1512,345,Car,1,408.79,28.46,30.82,29.73,22.88,0.78,17.65,0
172,3.84,1.92,1175,1619,445,Car,1,410.31,22.38,24.24,23.11,12.78,0.56,22.22,1
173,4.35,1.82,1189,1556,368,Car,2,411.54,25.67,28.77,28.04,26.38,0.99,13.49,0
174,4.75,1.92,1198,1515,318,Car,2,410.36,31.88,32.97,32.38,42.03,1.30,29.40,0
175,4.75,2.12,1201,1616,416,Car,1,402.96,22.11,27.11,24.29,15.52,0.69,10.24,0
176,4.04,1.92,1206,1544,339,Car,1,409.29,29.88,30.59,30.28,35.25,1.16,18.64,0
177,4.65,1.92,1227,1671,445,Car,1,410.56,22.39,24.56,23.13,38.04,1.65,65.41,0
178,4.85,1.82,1229,1584,356,Car,2,409.43,27.73,29.66,28.85,27.05,0.96,11.50,0
179,4.65,1.92,1234,1575,342,Car,1,409.88,29.91,30.22,30.06,28.64,0.94,183.48,0
180,4.24,1.92,1244,1592,349,Car,2,405.70,27.00,29.65,29.16,9.82,0.34,12.68,0
181,4.35,1.92,1244,1661,418,Car,1,410.43,23.62,26.55,24.61,26.58,1.11,14.72,0
182,4.45,1.82,1258,1609,352,Car,1,409.55,28.42,30.00,29.19,24.54,0.81,-1.00,0
183,4.65,2.02,1262,1535,274,Car,2,401.89,32.84,38.89,36.82,29.91,0.88,9.48,0
184,4.24,1.82,1275,1570,296,Car,2,411.27,32.88,35.88,34.87,23.72,0.68,4.41,1
185,4.85,1.92,1290,1717,428,Car,1,409.05,23.62,24.40,23.95,38.50,1.60,81.57,0
186,5.15,2.02,1298,1592,295,Car,2,409.32,32.23,35.93,34.82,22.70,0.63,35.41,0
187,4.75,1.82,1309,1661,353,Car,1,409.39,28.66,30.16,29.09,49.74,1.71,37.05,0
188,4.35,1.92,1324,1746,423,Car,1,411.15,23.10,25.64,24.37,22.37,0.93,25.09,0
189,4.14,1.92,1329,1686,358,Car,1,410.54,28.11,29.52,28.76,20.76,0.72,37.92,0
190,17.89,2.50,1354,1797,444,Truck,2,410.29,22.41,24.10,23.16,284.84,12.71,-1.00,0
191,4.75,2.12,1360,1792,433,Car,1,409.12,22.32,25.68,23.68,103.09,4.48,54.20,0
192,4.04,1.82,1365,1656,292,Car,2,402.95,33.50,35.45,34.64,86.27,2.47,10.86,1
193,6.06,2.32,1365,1707,343,Car,2,410.52,28.92,31.11,30.03,19.85,0.64,69.55,0
194,4.65,1.82,1372,1728,357,Car,1,409.10,27.71,30.24,28.74,39.24,1.37,61.39,0
195,5.36,2.02,1382,1821,440,Car,2,409.71,22.67,23.99,23.34,17.39,0.72,23.61,0
196,4.65,1.82,1382,1827,446,Car,1,410.07,20.70,25.01,23.05,19.44,0.77,345.31,0
197,5.05,2.02,1398,1752,355,Car,1,411.56,28.17,30.96,29.08,21.95,0.77,25.63,0
198,4.55,1.92,1407,1785,379,Car,1,409.67,24.24,30.01,27.11,34.22,1.38,11.31,0
199,3.64,1.72,1412,1728,317,Car,2,410.65,32.01,33.04,32.52,61.24,1.87,484.33,0
200,4.65,2.02,1441,1814,374,Car,1,408.71,23.97,29.61,27.41,24.07,0.97,11.53,0
201,16.78,2.50,1476,1908,433,Truck,2,410.62,22.11,26.02,23.77,69.42,2.83,37.95,0
202,3.64,1.62,1481,1834,354,Car,2,411.29,28.18,30.19,29.14,135.83,4.82,3179.79,0
203,16.78,2.50,1488,1950,463,Truck,1,408.64,20.87,23.92,22.12,85.40,3.57,162.16,0
204,4.35,1.82,1493,1803,311,Car,2,411.19,30.98,34.55,33.17,98.87,2.89,48.24,0
205,4.24,1.92,1494,1873,380,Car,1,410.23,26.29,27.60,27.08,112.37,4.13,-1.00,0
206,4.75,1.92,1513,1884,372,Car,1,410.83,27.10,29.64,27.70,70.56,2.59,21.48,0
207,4.45,2.02,1516,1906,391,Car,1,410.92,25.69,27.76,26.35,14.16,0.54,13.88,1
208,4.85,2.02,1525,1840,316,Car,2,410.53,31.43,33.84,32.60,34.66,1.10,-1.00,0
209,16.57,2.50,1537,1948,412,Truck,2,408.41,24.09,25.86,24.85,44.36,1.84,-1.00,0
210,5.26,2.22,1540,1989,450,Car,1,410.90,21.03,24.74,22.89,27.15,1.26,29.14,0
211,4.24,1.92,1552,1919,368,Car,1,411.18,26.19,29.86,28.03,18.97,0.71,9.94,0
212,4.45,1.82,1553,1867,315,Car,2,412.32,31.29,33.78,32.84,30.80,0.91,39.32,0
213,4.14,1.82,1559,1970,412,Car,2,411.12,24.55,25.82,25.01,17.10,0.69,24.17,0
214,4.75,1.82,1570,1939,370,Car,1,409.01,25.69,29.61,27.73,11.30,0.42,13.08,0
215,4.14,1.92,1577,1896,320,Car,2,409.63,29.55,34.41,32.12,23.90,0.81,47.55,0
216,4.55,2.02,1581,1951,371,Car,1,411.25,25.38,29.84,27.80,41.47,1.57,39.95,0
217,18.90,2.50,1593,2043,451,Truck,2,410.11,22.10,23.79,22.81,85.62,3.78,804.56,0
218,4.95,1.92,1600,1929,330,Car,2,410.49,29.50,34.42,31.21,23.07,0.78,-1.00,0
219,4.35,1.82,1600,1975,376,Car,1,412.00,26.25,28.58,27.48,28.53,1.06,15.99,0
220,4.55,1.97,1619,1983,365,Car,1,410.79,27.02,29.63,28.22,30.52,1.12,16.70,0
221,4.35,1.82,1621,1956,336,Car,2,410.10,29.12,33.25,30.62,19.73,0.67,-1.00,0
222,3.64,1.82,1624,1991,368,Car,1,410.40,26.59,29.33,27.97,13.95,0.52,10.40,0
223,16.52,2.50,1634,2079,446,Truck,2,410.13,22.25,23.86,23.05,17.83,0.74,77.35,0
224,4.75,2.02,1638,1994,357,Car,2,411.08,27.44,29.25,28.88,22.59,0.80,9.38,0
225,16.78,2.50,1639,2084,446,Truck,1,407.98,22.66,23.33,22.93,70.08,3.07,40.05,0
226,4.35,1.82,1657,1988,332,Car,2,410.66,29.70,32.20,31.04,25.83,0.84,13.88,0
227,4.45,1.92,1657,2024,368,Car,1,410.25,27.44,28.68,27.96,39.11,1.36,89.36,0
228,4.75,2.12,1664,2016,353,Car,1,410.08,27.21,29.83,29.14,23.45,0.84,13.38,0
229,4.75,1.92,1675,2118,444,Car,1,411.00,22.76,24.17,23.20,26.85,1.16,37.54,0
230,3.84,1.82,1683,2019,337,Car,2,409.15,29.77,31.00,30.46,27.97,0.90,55.86,0
231,4.55,1.92,1696,2049,354,Car,1,409.86,27.61,29.46,29.04,32.34,1.13,25.45,0
232,16.98,2.50,1699,2135,437,Truck,2,408.55,23.17,24.19,23.44,35.08,1.50,50.22,0
233,4.75,2.02,1700,2064,365,Car,1,410.42,27.47,28.61,28.20,39.54,1.42,67.65,0
234,4.65,2.02,1720,2080,361,Car,1,410.78,27.80,29.75,28.54,23.42,0.79,33.76,0
235,4.65,1.82,1730,2074,345,Car,2,410.82,29.60,30.12,29.86,90.81,3.06,42.05,0
236,5.05,1.92,1732,2060,329,Car,2,408.95,30.49,31.96,31.19,46.74,1.51,43.76,0
237,4.35,1.92,1734,2110,377,Car,1,410.84,25.99,28.28,27.33,34.66,1.22,-1.00,0
238,4.65,1.92,1742,2102,361,Car,1,410.48,27.56,30.73,28.52,18.98,0.67,16.16,0
239,18.39,2.50,1770,2207,438,Truck,1,408.02,22.40,24.12,23.35,63.24,2.73,71.88,0
240,4.55,2.02,1777,2167,391,Car,1,411.02,25.55,27.09,26.36,19.67,0.73,160.29,0
241,4.65,1.92,1780,2133,354,Car,1,410.67,26.26,30.50,29.09,20.08,0.75,9.43,1
242,4.65,1.82,1783,2116,334,Car,2,409.87,30.46,31.14,30.79,47.70,1.53,46.85,0
243,16.37,2.50,1808,2239,432,Truck,2,408.92,22.87,24.69,23.73,84.98,3.56,181.40,0
244,4.35,2.02,1813,2184,372,Car,1,410.01,25.12,30.14,27.64,12.14,0.46,8.77,1
245,3.94,1.82,1818,2222,405,Car,1,409.23,24.47,25.85,25.33,26.89,1.05,-1.00,0
246,4.55,1.82,1838,2148,311,Car,2,410.35,32.38,33.80,33.11,112.96,3.34,39.59,0
247,4.85,1.92,1844,2172,329,Car,1,408.71,29.37,33.57,31.17,19.32,0.64,11.04,0
248,8.99,2.12,1847,2253,407,Car,1,409.91,24.51,26.82,25.25,20.53,0.78,19.78,0
249,5.96,2.73,1873,2293,421,Truck,2,409.12,22.62,25.20,24.36,48.08,1.91,54.57,0
250,4.04,1.72,1879,2197,319,Car,2,411.68,30.46,34.08,32.38,49.15,1.61,42.85,1
251,4.55,1.82,1887,2222,336,Car,1,409.99,29.81,31.50,30.61,45.91,1.51,30.60,0
252,4.35,1.82,1894,2209,316,Car,2,409.20,29.87,34.55,32.48,11.54,0.37,30.28,0
253,14.05,2.53,1901,2312,412,Car,2,407.27,24.01,25.88,24.78,21.69,0.90,-1.00,0
254,4.80,1.92,1921,2256,336,Car,1,409.85,30.11,31.64,30.60,34.96,1.15,44.79,0
255,19.40,2.50,1923,2339,417,Truck,1,408.34,23.63,25.44,24.54,105.41,4.36,60.91,0
256,6.77,2.53,1935,2275,341,Car,2,409.69,28.21,31.77,30.14,43.86,1.55,-1.00,0
257,4.75,1.82,1939,2344,406,Car,2,409.86,24.71,25.69,25.31,28.60,1.11,38.69,0
258,14.15,2.50,1941,2364,424,Truck,2,408.61,22.77,25.19,24.16,48.87,2.14,-1.00,0
259,6.06,2.12,1953,2293,341,Car,2,411.23,27.83,31.90,30.26,15.18,0.51,45.45,0
260,8.08,2.50,1963,2365,403,Truck,1,397.51,23.92,25.71,24.74,29.30,1.22,70.19,0
261,7.07,2.22,1968,2311,344,Car,2,410.02,27.06,32.44,29.90,8.65,0.32,48.86,0
262,16.88,2.50,1975,2382,408,Truck,1,406.51,24.03,25.88,24.98,109.91,4.32,169.26,0
263,4.65,1.92,1988,2335,348,Car,2,409.61,27.09,30.84,29.53,16.52,0.61,-1.00,0
